UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
4087,L49739,L,299.3,309,1447,50.4,140,0,Random Failures
4089,M17420,M,299.4,309.1,1326,62,142,0,No Failure
4090,L49741,L,299.4,309.2,1607,31.7,145,0,No Failure
4091,L49742,L,299.3,309.1,1551,39.1,147,0,No Failure
4092,L49743,L,299.3,309.1,1496,37.2,149,0,No Failure
4093,L49744,L,299.3,309.1,1493,38,151,0,No Failure
4094,L49745,L,299.4,309.1,1304,50.5,153,0,No Failure
4095,M17426,M,299.3,309,1420,41.6,155,0,No Failure
4096,L49747,L,299.4,309.1,1766,24.6,158,0,No Failure
4098,L49748,L,299.6,309.2,1450,43.1,160,0,No Failure
4099,H31983,H,299.5,309.2,1872,22.6,162,0,No Failure
4100,L49750,L,299.6,309.2,1713,26.5,167,0,No Failure
4101,M17431,M,299.5,309.2,1497,40.9,169,0,No Failure
4102,M17432,M,299.4,309.1,1352,44.7,172,0,No Failure
4103,L49753,L,299.5,309.2,1499,41.5,175,0,No Failure
4104,L49754,L,299.5,309.3,1972,19.3,177,0,No Failure
4105,L49755,L,299.5,309.3,1422,49.2,179,0,No Failure
4106,L49756,L,299.5,309.3,1523,41.5,181,0,No Failure
4107,L49757,L,299.5,309.4,1563,41.5,183,0,No Failure
4108,L49758,L,299.4,309.3,1391,46.6,185,0,No Failure
4109,L49759,L,299.3,309.1,1795,24.7,187,0,No Failure
4110,L49760,L,299.3,309.1,1293,53.7,189,0,No Failure
4111,L49762,L,299.2,309,1615,33.7,193,0,No Failure
4112,L49763,L,299.2,308.9,1342,50.8,195,0,No Failure
4113,L49764,L,299.1,308.8,1502,46.7,197,0,No Failure
4114,M17445,M,299,308.7,1620,35.4,199,0,No Failure
4115,L49766,L,299,308.7,1537,42.8,202,0,No Failure
4116,L49767,L,299,308.7,2248,16.8,204,0,No Failure
4117,L49768,L,299,308.7,1706,28.6,206,0,No Failure
4119,L49769,L,299,308.7,2250,16.6,208,0,No Failure
4123,L49770,L,299,308.7,1396,48.6,0,0,No Failure
4124,L49771,L,298.9,308.6,1522,46.4,2,0,No Failure
4125,L49772,L,298.9,308.6,1539,45.4,4,0,No Failure
4126,H32007,H,298.9,308.5,1415,54,6,0,No Failure
4127,L49774,L,298.8,308.5,1446,37,11,0,No Failure
4128,M17455,M,298.8,308.6,1486,41.1,13,0,No Failure
4129,L49776,L,299,308.7,1426,38.6,16,0,No Failure
4130,L49777,L,299,308.7,1449,38.9,18,0,No Failure
4132,M17459,M,299.2,308.9,1447,39.6,22,0,No Failure
4133,L49780,L,299.3,309,1422,47.3,25,0,No Failure
4134,L49781,L,299.3,309.1,1399,52.1,27,0,No Failure
4135,L49782,L,299.4,309.2,1427,41.5,29,0,No Failure
4136,M17463,M,299.3,309.2,1334,46.3,31,0,No Failure
4137,M17464,M,299.3,309.1,1385,45.6,34,0,No Failure
4138,L49785,L,299.4,309.2,1552,37.4,37,0,No Failure
4140,H32020,H,299.4,309.3,1534,37.5,39,0,No Failure
4142,L49787,L,299.4,309.3,1448,48.6,44,0,No Failure
4143,L49788,L,299.5,309.3,1409,44.7,46,0,No Failure
4144,L49789,L,299.4,309.2,1621,34.5,48,0,No Failure
4145,H32024,H,299.4,309.1,1547,40.9,50,0,No Failure
4146,L49791,L,299.4,309.1,1957,22.1,55,0,No Failure
4147,L49792,L,299.4,309.1,2421,14.2,57,0,No Failure
4148,M17473,M,299.3,309.1,1571,38.3,59,0,No Failure
4149,L49794,L,299.3,309.1,1634,36.8,62,0,No Failure
4150,L49795,L,299.3,309,1516,38.7,64,0,No Failure
4151,L49796,L,299.4,309.1,1207,66.5,66,0,No Failure
4153,L49797,L,299.4,309.1,1670,35.9,68,0,No Failure
4155,M17478,M,299.4,309.1,1461,48.6,70,0,No Failure
4157,L49799,L,299.4,309.2,1569,40.8,73,0,No Failure
4159,L49800,L,299.4,309.2,1556,35.7,75,0,No Failure
4160,M17481,M,299.5,309.3,1506,41.5,77,0,No Failure
4161,M17482,M,299.6,309.4,1642,30.3,80,0,No Failure
4162,M17483,M,299.6,309.4,1283,62.1,83,0,No Failure
4163,H32038,H,299.7,309.5,1375,46.8,86,0,No Failure
4164,L49805,L,299.7,309.4,1399,39.9,91,0,No Failure
4166,L49806,L,299.7,309.4,1650,29.8,93,0,No Failure
4167,M17487,M,299.8,309.6,1346,53.2,95,0,No Failure
4168,H32042,H,299.9,309.6,1410,51.2,98,0,No Failure
4169,L49809,L,300,309.7,1586,37.8,103,0,No Failure
4170,L49810,L,300,309.8,1372,39.6,105,0,No Failure
4172,H32045,H,300,309.7,1529,42.4,107,0,No Failure
4173,M17492,M,300,309.7,1652,28.6,112,0,No Failure
4175,L49813,L,300.1,309.8,1532,39.8,115,0,No Failure
4176,L49814,L,300,309.7,1554,32,117,0,No Failure
4177,H32049,H,299.9,309.6,1462,51,119,0,No Failure
4178,L49816,L,299.9,309.6,1254,61.3,124,0,No Failure
4179,L49817,L,299.9,309.6,1294,49.7,126,0,No Failure
4181,L49818,L,299.8,309.5,1739,27.5,128,0,No Failure
4182,M17499,M,299.8,309.4,1412,47.8,130,0,No Failure
4184,M17500,M,299.9,309.5,1372,56.2,133,0,No Failure
4187,H32055,H,299.8,309.5,1420,46.7,136,0,No Failure
4188,L49822,L,299.8,309.5,1542,40.3,141,0,No Failure
4189,M17503,M,299.8,309.4,1401,48.1,143,0,No Failure
4190,L49824,L,299.8,309.4,1510,42.5,146,0,No Failure
4191,H32059,H,299.9,309.5,1547,38.5,148,0,No Failure
4192,M17506,M,299.8,309.5,1453,43.2,153,0,No Failure
4193,L49827,L,299.8,309.4,1408,45.6,156,0,No Failure
4194,L49828,L,299.8,309.4,1436,51.6,158,0,No Failure
4195,M17509,M,299.9,309.5,1582,38.2,160,0,No Failure
4196,L49830,L,299.9,309.6,1280,59.3,163,0,No Failure
4197,L49831,L,299.9,309.5,2008,20.4,165,0,No Failure
4198,L49832,L,299.9,309.5,1772,23.5,167,0,No Failure
4199,L49833,L,299.9,309.5,1779,26.1,169,0,No Failure
4200,L49834,L,299.9,309.5,1567,35.5,171,0,No Failure
4201,M17515,M,299.8,309.4,1751,27,173,0,No Failure
4202,L49836,L,299.9,309.5,1349,51.3,176,0,No Failure
4203,M17517,M,300,309.5,1425,40.8,178,0,No Failure
4204,L49838,L,300,309.4,1395,44.5,181,0,No Failure
4205,H32073,H,299.8,309.3,1595,32.1,183,0,No Failure
4206,L49840,L,299.8,309.3,1291,56.4,188,0,No Failure
4207,M17521,M,299.9,309.4,1509,42.8,190,0,No Failure
4209,M17522,M,299.9,309.4,1483,38.1,193,0,No Failure
4210,L49843,L,299.9,309.3,1620,31.1,196,0,No Failure
4211,M17524,M,299.9,309.4,1487,42.2,198,0,No Failure
4213,L49845,L,299.8,309.4,2256,15.9,201,0,No Failure
4214,H32080,H,299.7,309.2,1691,27.7,203,0,No Failure
4215,M17527,M,299.8,309.3,1663,35.2,208,0,No Failure
4216,M17528,M,299.8,309.3,1640,31.1,211,0,No Failure
4217,H32083,H,299.7,309.3,1494,37.8,214,0,No Failure
4218,L49850,L,299.8,309.4,1467,46.2,219,0,No Failure
4219,L49852,L,299.7,309.3,1445,42.6,0,0,No Failure
4220,L49853,L,299.8,309.4,1480,40.9,2,0,No Failure
4221,L49854,L,299.7,309.3,1546,37.2,4,0,No Failure
4222,L49855,L,299.7,309.3,1574,35.8,6,0,No Failure
4223,L49856,L,299.7,309.3,1592,34.2,8,0,No Failure
4224,L49857,L,299.8,309.5,1495,39.6,10,0,No Failure
4225,L49858,L,299.8,309.6,1447,43.1,12,0,No Failure
4227,L49859,L,299.8,309.5,1476,44.4,14,0,No Failure
4228,L49860,L,299.8,309.5,1641,27.1,16,0,No Failure
4229,L49861,L,299.8,309.5,1545,32.2,18,0,No Failure
4230,M17542,M,299.9,309.6,1364,44.4,20,0,No Failure
4231,L49863,L,299.8,309.5,1590,28.5,23,0,No Failure
4232,L49864,L,299.8,309.4,1460,37.4,25,0,No Failure
4233,L49865,L,299.8,309.4,1609,32.5,27,0,No Failure
4234,L49866,L,299.8,309.4,1633,27.5,29,0,No Failure
4235,L49867,L,299.9,309.4,1348,52.8,31,0,No Failure
4236,L49868,L,299.9,309.4,1322,53.9,33,0,No Failure
4237,L49869,L,300,309.5,1641,30.1,35,0,No Failure
4238,L49870,L,300,309.5,1728,26,37,0,No Failure
4239,L49871,L,300,309.6,1431,47.7,39,0,No Failure
4240,L49872,L,300.1,309.7,1641,30.4,41,0,No Failure
4241,M17553,M,300.1,309.6,1622,36.1,43,0,No Failure
4242,M17554,M,300.1,309.6,1625,38,46,0,No Failure
4243,L49875,L,300,309.5,1869,22.7,49,0,No Failure
4244,L49876,L,300,309.6,1452,46,51,0,No Failure
4245,L49877,L,300,309.6,1618,28.7,53,0,No Failure
4246,L49878,L,300,309.4,2010,20,55,0,No Failure
4247,L49879,L,299.9,309.4,1363,60.9,57,0,No Failure
4249,L49880,L,299.9,309.3,1473,40.4,59,0,No Failure
4251,L49881,L,299.9,309.2,1333,50.8,61,0,No Failure
4253,L49882,L,299.8,309.2,1760,25.9,63,0,No Failure
4256,M17563,M,299.8,309.2,1372,58.2,65,0,No Failure
4257,M17564,M,299.7,309.2,1608,34.4,68,0,No Failure
4258,L49885,L,299.7,309.2,1326,64.8,71,0,No Failure
4260,M17566,M,299.6,309.1,1560,37.1,73,0,No Failure
4261,M17567,M,299.6,309,1539,36.1,76,0,No Failure
4262,L49888,L,299.6,309.1,2266,15.3,79,0,No Failure
4263,L49889,L,299.6,309.1,1641,35.8,81,0,No Failure
4264,L49890,L,299.6,309.1,1574,39.2,83,0,No Failure
4265,L49891,L,299.6,309.1,1407,50.6,85,0,No Failure
4266,H32126,H,299.7,309.2,1302,55.5,87,0,No Failure
4267,M17573,M,299.6,309.2,1651,30.8,92,0,No Failure
4268,M17574,M,299.6,309.1,1366,55.2,95,0,No Failure
4269,M17575,M,299.5,309,1701,28.6,98,0,No Failure
4270,L49896,L,299.5,309,1498,44.6,101,0,No Failure
4272,M17577,M,299.5,309.1,1422,45.3,103,0,No Failure
4273,L49898,L,299.5,309.1,1357,47.3,106,0,No Failure
4274,L49899,L,299.5,309.2,1690,29.2,108,0,No Failure
4275,L49900,L,299.6,309.2,1559,39.1,110,0,No Failure
4276,M17581,M,299.6,309.3,1553,32.4,112,0,No Failure
4277,L49902,L,299.6,309.3,1558,34.8,115,0,No Failure
4278,L49903,L,299.7,309.4,1362,51.9,117,0,No Failure
4279,M17584,M,299.8,309.3,1470,42.7,119,0,No Failure
4281,L49905,L,299.8,309.4,1555,34.8,122,0,No Failure
4282,M17586,M,299.8,309.4,1423,42.9,124,0,No Failure
4285,L49907,L,299.7,309.3,1434,38.5,127,0,No Failure
4287,L49908,L,299.7,309.3,1779,25.5,129,0,No Failure
4288,L49909,L,299.7,309.3,1417,54.6,131,0,No Failure
4289,L49910,L,299.6,309.2,1425,45.9,133,0,No Failure
4290,M17591,M,299.7,309.2,1597,32.9,135,0,No Failure
4291,L49912,L,299.7,309.2,1346,57.4,138,0,No Failure
4292,L49913,L,299.7,309.2,1422,40.4,140,0,No Failure
4294,H32148,H,299.7,309.2,1572,32.8,142,0,No Failure
4295,L49915,L,299.7,309.2,1412,45.4,147,0,No Failure
4296,M17596,M,299.7,309.1,1576,36.4,149,0,No Failure
4298,M17597,M,299.7,309.1,1508,41.2,152,0,No Failure
4299,M17598,M,299.8,309.1,1496,44.4,155,0,No Failure
4300,L49919,L,299.8,309.2,1572,35.4,158,0,No Failure
4301,L49920,L,299.6,309,1525,42.8,160,0,No Failure
4302,L49921,L,299.6,309,1378,51.9,162,0,No Failure
4303,L49922,L,299.6,309.1,1369,51.4,164,0,No Failure
4304,L49923,L,299.6,309.1,1476,45.3,166,0,No Failure
4305,L49924,L,299.7,309.2,1620,30,168,0,No Failure
4306,M17605,M,299.7,309.1,1603,38.5,170,0,No Failure
4307,L49926,L,299.7,309.2,1411,46.1,173,0,No Failure
4309,L49927,L,299.7,309.2,1616,31.6,175,0,No Failure
4310,L49928,L,299.7,309.2,1631,35.1,177,0,No Failure
4311,H32164,H,299.7,309.2,1456,40.6,182,0,No Failure
4312,L49931,L,299.7,309.1,1417,50.1,187,0,No Failure
4313,M17612,M,299.7,309.1,1851,24.7,189,0,No Failure
4314,L49933,L,299.7,309.1,1715,27.8,192,0,No Failure
4315,H32168,H,299.6,309.1,1630,32.3,194,0,No Failure
4316,L49935,L,299.7,309.2,1478,38.8,199,0,No Failure
4317,L49936,L,299.7,309.2,1781,29.6,201,0,No Failure
4318,L49937,L,299.8,309.2,1439,36.1,203,0,No Failure
4319,M17618,M,299.7,309.2,1412,45.3,205,0,No Failure
4320,L49939,L,299.7,309.1,1483,41.1,208,0,No Failure
4321,L49940,L,299.8,309.2,1400,42.6,210,0,No Failure
4322,L49942,L,299.8,309.2,1479,44.4,214,0,No Failure
4323,L49943,L,299.8,309.2,1491,47.5,216,0,No Failure
4325,M17624,M,299.9,309.3,1389,52.8,0,0,No Failure
4326,M17625,M,299.9,309.4,1399,54.8,3,0,No Failure
4328,M17626,M,299.9,309.4,1889,26,6,0,No Failure
4330,L49947,L,300,309.5,1925,21.9,9,0,No Failure
4331,L49948,L,300,309.5,1675,30.2,11,0,No Failure
4332,M17629,M,300,309.6,1477,38.1,13,0,No Failure
4333,L49950,L,300,309.6,1364,45.9,16,0,No Failure
4334,L49951,L,299.9,309.5,1451,39.4,18,0,No Failure
4335,L49952,L,299.9,309.4,1467,41.2,20,0,No Failure
4336,L49953,L,299.9,309.4,1858,22.5,22,0,No Failure
4337,L49954,L,300.1,309.4,1559,39.7,24,0,No Failure
4338,L49955,L,300.1,309.4,1560,47.7,26,0,No Failure
4339,L49956,L,300.1,309.4,1453,47.6,28,0,No Failure
4340,L49957,L,300.1,309.4,1464,41.7,30,0,No Failure
4341,L49958,L,300,309.4,1308,50.2,32,0,No Failure
4342,L49959,L,300.1,309.5,1353,50.9,34,0,No Failure
4344,M17640,M,300.2,309.6,1556,35.8,36,0,No Failure
4345,L49961,L,300.2,309.5,2183,17.8,39,0,No Failure
4346,M17642,M,300.2,309.6,1491,41.8,41,0,No Failure
4347,M17643,M,300.2,309.6,1528,35.1,44,0,No Failure
4348,L49964,L,300.2,309.6,1430,52.7,47,0,No Failure
4349,L49965,L,300.2,309.5,1495,32.6,49,0,No Failure
4350,M17646,M,300.2,309.5,1630,28.3,51,0,No Failure
4351,M17647,M,300.3,309.6,1524,38.4,54,0,No Failure
4352,L49968,L,300.3,309.6,1326,52.4,57,0,No Failure
4353,H32203,H,300.3,309.5,1438,44,59,0,No Failure
4355,L49970,L,300.4,309.6,1356,45.9,64,0,No Failure
4357,H32205,H,300.4,309.6,1416,43.3,66,0,No Failure
4358,L49972,L,300.4,309.7,1584,32.6,71,0,No Failure
4359,L49973,L,300.3,309.6,1597,31.8,73,0,No Failure
4360,L49974,L,300.4,309.6,1553,43.9,75,0,No Failure
4361,M17655,M,300.3,309.5,1405,49.4,77,0,No Failure
4363,L49976,L,300.2,309.5,1539,35.3,80,0,No Failure
4364,M17657,M,300.3,309.6,1398,53.7,82,0,No Failure
4365,L49978,L,300.3,309.6,1568,39.6,85,0,No Failure
4366,L49979,L,300.3,309.6,1404,44.6,87,0,No Failure
4367,M17660,M,300.2,309.5,1500,45.7,89,0,No Failure
4368,M17661,M,300.2,309.5,1642,28.8,92,0,No Failure
4369,M17662,M,300.3,309.6,1509,46.6,95,0,No Failure
4370,L49983,L,300.2,309.5,1343,50.2,98,0,No Failure
4372,L49984,L,300.1,309.5,1450,40.1,100,0,No Failure
4373,L49985,L,300,309.4,1460,43.5,102,0,No Failure
4374,L49986,L,300,309.3,1364,41.2,104,0,No Failure
4375,M17667,M,299.9,309.3,1452,41.9,106,0,No Failure
4376,L49988,L,299.9,309.3,1471,41.8,109,0,No Failure
4377,L49989,L,299.9,309.2,1598,34.6,111,0,No Failure
4378,L49990,L,299.8,309.1,1772,24.8,113,0,No Failure
4379,L49991,L,299.9,309.2,1761,25.6,115,0,No Failure
4380,M17672,M,300,309.3,1413,40.7,117,0,No Failure
4381,L49993,L,300,309.3,1887,22.6,120,0,No Failure
4382,L49994,L,300,309.3,1395,56.5,122,0,No Failure
4383,M17675,M,300.1,309.4,1569,31.6,124,0,No Failure
4385,L49996,L,300.1,309.4,1434,47.3,127,0,No Failure
4387,L49997,L,300.2,309.5,1417,41.1,129,0,No Failure
4388,L49998,L,300.2,309.5,1729,28.4,131,0,No Failure
4389,L49999,L,300.2,309.5,1356,51.1,133,0,No Failure
4391,L50000,L,300.2,309.5,1436,48.8,135,0,No Failure
4393,M17681,M,300.3,309.6,1419,42.5,137,0,No Failure
4394,L50002,L,300.3,309.6,1593,38.1,140,0,No Failure
4395,M17683,M,300.3,309.5,1320,62.2,142,0,No Failure
4396,M17684,M,300.3,309.5,1448,42.4,145,0,No Failure
4397,L50005,L,300.3,309.4,1470,33.5,148,0,No Failure
4398,M17686,M,300.3,309.4,1612,33.1,150,0,No Failure
4399,L50007,L,300.4,309.4,1412,51.6,153,0,No Failure
4400,M17688,M,300.4,309.4,1875,23.9,155,0,No Failure
4402,L50009,L,300.3,309.3,1612,36,158,0,No Failure
4403,M17690,M,300.4,309.3,1411,41.6,160,0,No Failure
4404,M17691,M,300.3,309.2,1490,47.9,163,0,No Failure
4405,M17692,M,300.4,309.3,1467,40.3,166,0,No Failure
4408,L50013,L,300.3,309.2,1807,26.4,169,0,No Failure
4409,L50014,L,300.3,309.1,1368,46,171,0,No Failure
4411,L50015,L,300.3,309.2,1572,32,173,0,No Failure
4412,M17696,M,300.3,309.1,1458,44.3,175,0,No Failure
4413,L50017,L,300.3,309.1,1699,30.3,178,0,No Failure
4414,L50018,L,300.3,309.3,1478,39.5,180,0,No Failure
4415,M17699,M,300.4,309.4,1362,42.1,182,0,No Failure
4416,H32254,H,300.4,309.4,1487,38.9,185,0,No Failure
4417,L50021,L,300.3,309.4,1705,29.4,190,0,No Failure
4419,L50022,L,300.3,309.3,1345,53.5,192,0,No Failure
4421,L50023,L,300.3,309.2,1532,40.2,194,0,No Failure
4423,L50024,L,300.3,309.2,1650,35.2,196,0,No Failure
4424,L50025,L,300.3,309.2,1398,54.4,198,0,No Failure
4425,L50026,L,300.3,309.2,1412,44.8,200,0,No Failure
4426,L50027,L,300.4,309.3,1525,39.6,202,0,No Failure
4427,M17708,M,300.3,309.3,1391,57.9,204,0,No Failure
4429,L50029,L,300.4,309.3,1766,28.2,207,0,No Failure
4430,L50030,L,300.4,309.3,1671,35,209,0,No Failure
4431,L50031,L,300.5,309.3,1373,48.8,211,0,No Failure
4432,M17712,M,300.5,309.4,1347,50.1,213,0,No Failure
4433,M17713,M,300.5,309.3,1539,39.1,216,0,No Failure
4434,L50034,L,300.5,309.3,1470,40.8,219,0,No Failure
4435,L50035,L,300.5,309.3,1528,37,221,0,No Failure
4437,H32270,H,300.5,309.3,1471,45.2,223,0,No Failure
4438,M17717,M,300.4,309.2,1528,37.2,228,0,No Failure
4439,L50039,L,300.6,309.4,1549,43.4,233,0,No Failure
4440,H32274,H,300.6,309.4,1463,49.2,235,0,No Failure
4441,L50041,L,300.7,309.5,1479,43.6,240,0,No Failure
4443,L50042,L,300.6,309.5,1867,23,242,0,No Failure
4444,L50043,L,300.6,309.4,1471,44.1,244,0,No Failure
4445,H32279,H,300.7,309.7,1623,32.7,0,0,No Failure
4446,L50046,L,300.8,309.7,1997,20.7,5,0,No Failure
4447,H32281,H,300.7,309.6,1390,48.5,7,0,No Failure
4448,L50048,L,300.8,309.7,1418,46.6,12,0,No Failure
4451,L50049,L,300.8,309.7,1519,35.8,14,0,No Failure
4452,M17730,M,300.8,309.7,1519,39.7,16,0,No Failure
4453,M17731,M,300.7,309.6,1536,37.2,19,0,No Failure
4454,L50052,L,300.8,309.6,1680,28.7,22,0,No Failure
4455,H32287,H,300.6,309.4,1555,37.9,24,0,No Failure
4456,L50054,L,300.6,309.5,1471,49.6,29,0,No Failure
4457,M17735,M,300.5,309.4,1877,23.8,31,0,No Failure
4458,M17736,M,300.5,309.3,1578,30.5,34,0,No Failure
4459,M17737,M,300.5,309.4,1655,32.1,37,0,No Failure
4460,H32292,H,300.5,309.4,1502,34.3,40,0,No Failure
4461,L50060,L,300.7,309.5,1541,37.2,48,0,No Failure
4462,M17741,M,300.6,309.6,1588,37,50,0,No Failure
4464,L50062,L,300.6,309.6,1684,32.8,53,0,No Failure
4465,L50063,L,300.6,309.5,1437,40,55,0,No Failure
4466,L50064,L,300.6,309.6,1409,42.4,57,0,No Failure
4467,M17745,M,300.5,309.5,1320,49.9,59,0,No Failure
4468,H32300,H,300.5,309.5,1635,34.2,62,0,No Failure
4469,M17747,M,300.5,309.5,1691,27.6,67,0,No Failure
4471,M17748,M,300.6,309.6,1365,50,70,0,No Failure
4472,M17749,M,300.7,309.7,1523,38.2,73,0,No Failure
4473,L50070,L,300.6,309.7,1593,32.4,76,0,No Failure
4474,L50071,L,300.6,309.6,1682,30.7,78,0,No Failure
4475,L50072,L,300.7,309.6,1329,54.3,80,0,No Failure
4477,M17753,M,300.7,309.6,1568,35.2,82,0,No Failure
4478,L50074,L,300.7,309.6,1733,24.8,85,0,No Failure
4479,M17755,M,300.7,309.6,1473,48.1,87,0,No Failure
4480,M17756,M,300.7,309.5,1633,31.3,90,0,No Failure
4482,M17757,M,300.6,309.5,1530,40.2,93,0,No Failure
4483,M17758,M,300.6,309.5,1550,40.2,96,0,No Failure
4484,L50079,L,300.6,309.4,1410,40.6,99,0,No Failure
4485,L50080,L,300.5,309.3,1574,33.5,101,0,No Failure
4486,L50081,L,300.6,309.4,1425,40.3,103,0,No Failure
4487,M17762,M,300.6,309.4,1541,35.2,105,0,No Failure
4488,M17763,M,300.7,309.5,1733,26.7,108,0,No Failure
4489,L50084,L,300.6,309.4,2496,13.5,111,0,No Failure
4490,L50085,L,300.6,309.4,1552,36.4,113,0,No Failure
4491,L50086,L,300.6,309.3,1409,38.7,115,0,No Failure
4492,M17767,M,300.6,309.4,1581,35.7,117,0,No Failure
4493,L50088,L,300.7,309.5,1251,59.9,120,0,No Failure
4494,L50089,L,300.7,309.6,1500,44.1,122,0,No Failure
4495,L50090,L,300.6,309.5,1576,38.8,124,0,No Failure
4497,M17771,M,300.7,309.5,1352,44,126,0,No Failure
4498,L50092,L,300.7,309.6,1661,30.3,129,0,No Failure
4499,L50093,L,300.7,309.6,1541,34.6,131,0,No Failure
4500,H32328,H,300.6,309.6,1888,20.5,133,0,No Failure
4501,L50095,L,300.5,309.5,1255,62.1,138,0,No Failure
4503,L50096,L,300.6,309.6,1411,41.6,140,0,No Failure
4504,L50097,L,300.6,309.5,1516,39,142,0,No Failure
4505,M17778,M,300.6,309.5,1492,34,144,0,No Failure
4506,L50099,L,300.6,309.6,1726,30,147,0,No Failure
4507,L50100,L,300.7,309.7,1598,33.7,149,0,No Failure
4508,L50101,L,300.8,309.8,1657,31.1,151,0,No Failure
4509,L50102,L,300.8,309.7,1481,38.1,153,0,No Failure
4510,M17783,M,300.7,309.7,1397,51.3,155,0,No Failure
4512,L50104,L,300.8,309.7,1461,44.3,158,0,No Failure
4513,M17785,M,300.7,309.6,1388,51.1,160,0,No Failure
4514,L50106,L,300.7,309.7,1507,52.4,163,0,No Failure
4515,M17787,M,300.7,309.6,1421,49.8,165,0,No Failure
4516,M17788,M,300.8,309.7,1258,54.9,168,0,No Failure
4517,M17789,M,300.8,309.7,1482,39,171,0,No Failure
4518,H32344,H,300.7,309.6,1403,51.3,174,0,No Failure
4519,L50111,L,300.8,309.7,1373,45.4,179,0,No Failure
4520,L50112,L,300.9,309.7,1460,42.1,181,0,No Failure
4521,M17793,M,300.8,309.7,1751,27.9,183,0,No Failure
4522,M17794,M,300.8,309.6,1546,42.3,186,0,No Failure
4523,M17795,M,300.8,309.7,1680,28.2,189,0,No Failure
4524,M17796,M,300.9,309.7,1394,48.8,192,0,No Failure
4525,L50117,L,300.7,309.6,1810,26,195,0,No Failure
4526,L50118,L,300.7,309.5,1479,34.5,197,0,No Failure
4527,L50119,L,300.9,309.7,1431,41.4,199,0,No Failure
4529,L50120,L,300.9,309.7,2355,14.4,201,0,No Failure
4530,L50122,L,300.7,309.5,1461,49.9,0,0,No Failure
4531,H32357,H,300.7,309.5,2007,19.7,2,0,No Failure
4532,L50124,L,300.7,309.6,1505,34.9,7,0,No Failure
4533,H32359,H,300.7,309.6,1925,20.5,9,0,No Failure
4535,M17806,M,300.7,309.5,1622,30.5,14,0,No Failure
4536,L50127,L,300.7,309.5,1592,29,17,0,No Failure
4538,L50128,L,300.7,309.5,1850,24.5,19,0,No Failure
4539,M17809,M,300.7,309.5,1470,48.7,21,0,No Failure
4540,M17810,M,300.7,309.5,1445,46.4,24,0,No Failure
4541,L50131,L,300.7,309.5,1685,31.1,27,0,No Failure
4542,H32366,H,300.7,309.5,1667,30.5,29,0,No Failure
4543,L50133,L,300.7,309.5,1578,35.4,34,0,No Failure
4544,H32368,H,300.6,309.4,1691,28,36,0,No Failure
4546,M17815,M,300.7,309.5,1439,43.8,41,0,No Failure
4547,M17816,M,300.8,309.6,1404,38.7,44,0,No Failure
4548,L50137,L,300.8,309.6,1498,45.8,47,0,No Failure
4549,M17818,M,300.8,309.5,1481,44.5,49,0,No Failure
4550,M17819,M,300.7,309.4,1589,35,52,0,No Failure
4551,L50140,L,300.7,309.5,1467,44.3,55,0,No Failure
4552,L50141,L,300.6,309.4,1654,32.8,57,0,No Failure
4553,L50142,L,300.7,309.5,1508,39.9,59,0,No Failure
4554,M17823,M,300.7,309.6,1439,43,61,0,No Failure
4555,L50144,L,300.7,309.5,1692,30.3,64,0,No Failure
4556,M17825,M,300.7,309.5,1838,24.9,66,0,No Failure
4558,L50146,L,300.6,309.3,1601,40.2,69,0,No Failure
4560,L50147,L,300.6,309.4,1369,51.6,71,0,No Failure
4561,M17828,M,300.6,309.4,1312,45.2,73,0,No Failure
4562,L50149,L,300.6,309.4,1468,44.1,76,0,No Failure
4563,M17830,M,300.6,309.4,1452,39.4,78,0,No Failure
4564,M17831,M,300.7,309.5,1393,43.9,81,0,No Failure
4565,M17832,M,300.6,309.4,1432,44.2,84,0,No Failure
4567,M17833,M,300.6,309.3,1510,46,87,0,No Failure
4568,M17834,M,300.6,309.4,1521,37.2,90,0,No Failure
4569,H32389,H,300.5,309.4,1360,46.2,93,0,No Failure
4570,M17836,M,300.5,309.3,1881,25.5,98,0,No Failure
4572,L50157,L,300.4,309.3,1413,50.3,101,0,No Failure
4573,H32392,H,300.5,309.4,1642,36.2,103,0,No Failure
4574,L50159,L,300.5,309.5,1542,38.5,108,0,No Failure
4575,L50160,L,300.4,309.5,1447,39.3,110,0,No Failure
4576,H32395,H,300.4,309.4,1530,40.4,112,0,No Failure
4577,L50162,L,300.5,309.5,1795,27.7,117,0,No Failure
4578,L50163,L,300.6,309.6,1290,57.4,119,0,No Failure
4579,L50164,L,300.6,309.7,1639,30.4,121,0,No Failure
4581,L50165,L,300.7,309.8,1596,31.5,123,0,No Failure
4582,L50166,L,300.6,309.8,1455,48,125,0,No Failure
4583,M17847,M,300.6,309.8,1659,28.9,127,0,No Failure
4584,M17848,M,300.6,309.8,1532,42.5,130,0,No Failure
4585,L50169,L,300.6,309.8,1502,42.4,133,0,No Failure
4586,L50170,L,300.6,309.8,1688,28.6,135,0,No Failure
4587,M17851,M,300.5,309.7,1341,50.9,137,0,No Failure
4588,M17852,M,300.5,309.7,1685,29.4,140,0,No Failure
4589,M17853,M,300.5,309.8,1370,55.9,143,0,No Failure
